Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event1       4.62e-04  108.84   1.86e+00  120.00   8.15e+04  116000.00 
Event8       5.68e-01   31.80   1.14e+00   35.10   7.66e+02  129000.00 
Event9       1.66e-02    6.61   1.75e-04    6.98   2.34e+02  125000.00 
Event11      0.00e+00    1.79   2.05e-14    1.93   1.35e+02  133000.00 
Event12      2.86e-03   68.81   3.00e-01   81.70   2.33e+04  141000.00 
Event16      6.62e-01  156.33   1.60e+02  168.00   1.76e+04  125000.00 
Event20      2.20e-04   75.11   9.35e-02   75.50   9.53e+04  137000.00 
Event21      7.46e-02   11.79   2.22e-04   15.90   2.14e+02  109000.00 
Event23      3.56e-05   36.92   3.41e-04   46.30   3.84e+03  113000.00 
Event43      4.55e-03   18.42   3.41e-01   21.80   1.10e+03  131000.00 
Event45      6.16e-01   37.11   1.50e-01   41.40   6.61e+03  135000.00 
Event47      7.76e-03   40.07   1.59e-04   45.50   1.32e+03  131000.00 
Event51      2.47e+00   34.23   2.84e+01   36.90   1.44e+05  138000.00 
Event54      1.26e-02   14.54   1.49e-03   16.60   1.08e+05  130000.00 
Event55      2.04e-24   26.36   1.14e-05   28.80   9.60e+04  113000.00 
Event67      2.36e-01   25.64   3.48e+00   26.60   3.88e+03  134000.00 
Event76      2.92e-02   55.80   5.51e+02   56.90   2.93e+03  126000.00 
Event82      6.17e-03   15.86   1.17e-05   21.10   8.48e+02  134000.00 
Event84      1.35e+00   23.44   6.59e-02   29.40   6.93e+02  154000.00 
Event90      3.91e-01   56.91   1.45e+01   58.40   1.25e+04  119000.00 
Event94      8.41e-05   34.14   1.16e-05   35.10   8.54e+03  125000.00 
Event96      9.74e-01   96.59   1.61e+03  107.00   1.13e+05  137000.00 
Event97      2.33e-01   15.21   1.64e+00   15.70   4.63e+03  137000.00 
Event100     2.92e-03    4.95   3.27e-01    5.39   1.77e+02  132000.00 
Event104     2.53e-01   16.97   3.59e+00   17.00   4.83e+04  117000.00 
Event108     1.92e-03    7.11   9.08e-05    8.67   1.83e+04  131000.00 
Event112     2.10e+00  181.02   2.59e+04  201.00   8.08e+04  137000.00 
Event121     9.59e-26    2.10   1.17e-10    3.02   5.02e+02  113000.00 
Event130     6.80e-01   90.42   6.18e+00   91.30   1.57e+04  120000.00 
Event136     9.33e-02    4.99   6.10e-03    6.26   5.02e+02  131000.00 
Event140     3.11e-01  115.73   5.30e+03  123.00   2.51e+04  134000.00 
