Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event1       4.62e-04  108.84   1.86e+00  120.00   8.15e+04  116000.00 
Event100     2.92e-03    4.95   3.27e-01    5.39   1.77e+02  132000.00 
Event104     2.53e-01   16.97   3.59e+00   17.00   4.83e+04  117000.00 
Event112     2.10e+00  181.02   2.59e+04  201.00   8.08e+04  137000.00 
Event12      2.86e-03   68.81   3.00e-01   81.70   2.33e+04  141000.00 
Event121     9.59e-26    2.10   1.17e-10    3.02   5.02e+02  113000.00 
Event130     6.80e-01   90.42   6.18e+00   91.30   1.57e+04  120000.00 
Event136     9.33e-02    4.99   6.10e-03    6.26   5.02e+02  131000.00 
Event142     1.42e+01  421.59   1.62e+04  424.00   3.79e+04  116000.00 
Event145     3.79e-01   11.84   1.96e+01   14.10   7.57e+02  116000.00 
Event146     1.55e-01    1.84   3.27e-07    1.93   3.23e+03  116000.00 
Event174     3.53e+00  107.56   2.07e+03  133.00   1.18e+05  129000.00 
Event175     3.30e-01   44.04   7.83e+02   50.80   2.06e+03  129000.00 
Event188     1.64e+00   53.74   5.48e+03   58.50   4.62e+04  113000.00 
Event190     2.83e+00  310.70   1.77e+04  328.00   1.26e+05  131000.00 
Event192     1.50e-01   69.81   1.45e-02   84.20   1.80e+03  139000.00 
Event20      2.20e-04   75.11   9.35e-02   75.50   9.53e+04  137000.00 
Event203     1.43e+00   29.34   2.22e+02   36.70   6.21e+03  111000.00 
Event21      7.46e-02   11.79   2.22e-04   15.90   2.14e+02  109000.00 
Event222     4.87e-02    2.48   5.23e+00    2.59   2.32e+03  143000.00 
Event232     2.25e-01   11.60   3.30e-03   13.20   2.10e+03  109000.00 
Event254     2.62e+00  120.66   1.30e+03  146.00   1.09e+04  128000.00 
Event257     6.81e-01  170.03   2.76e+03  194.00   1.35e+05  113000.00 
Event261     7.74e-01   27.88   1.96e+02   30.80   5.38e+03  137000.00 
Event263     2.91e-01   46.83   6.03e+00   54.10   1.55e+04  124000.00 
Event267     4.85e-02   13.24   9.36e-04   16.70   1.43e+03  139000.00 
Event303     6.52e-04    9.83   2.16e-01   11.00   4.91e+02  123000.00 
Event306     1.47e+01  402.62   3.00e+05  448.00   8.14e+05  132000.00 
